condition,item,text,participant,conditionLabel,npType,voice,order,acoustics,stressshift
1,1,"John hit Mary, and then John was hit by Mary.",540,Williams,full,passive,2,-0.83370665,noshift
1,1,"John hit Mary, and then John was hit by Mary.",544,Williams,full,passive,3,0.30167734,shift
1,1,"John hit Mary, and then John was hit by Mary.",549,Williams,full,passive,4,-1.01643228,noshift
1,1,"John hit Mary, and then John was hit by Mary.",554,Williams,full,passive,2,-0.64810763,noshift
1,1,"John hit Mary, and then John was hit by Mary.",558,Williams,full,passive,1,-0.24895437,noshift
1,1,"John hit Mary, and then John was hit by Mary.",561,Williams,full,passive,2,-0.33020859,shift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",530,Williams,full,active,11,-1.61041512,noshift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",548,Williams,full,active,10,-0.59759787,noshift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",553,Williams,full,active,12,-0.45876506,noshift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",557,Williams,full,active,10,-2.10342078,noshift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",560,Williams,full,active,12,-0.54041662,shift
1,10,"Lucy was counselled by Linus, and that's why Lucy decided to counsel Linus.",564,Williams,full,active,12,-0.75285851,noshift
1,11,"Andrea mocked a classmate, and later on Andrea was mocked by a classmate.",297,Williams,full,passive,10,-0.00614565,shift
1,11,"Andrea mocked a classmate, and later on Andrea was mocked by a classmate.",542,Williams,full,passive,10,-0.95485368,noshift
1,11,"Andrea mocked a classmate, and later on Andrea was mocked by a classmate.",552,Williams,full,passive,10,-1.75407296,noshift
1,11,"Andrea mocked a classmate, and later on Andrea was mocked by a classmate.",559,Williams,full,passive,10,-2.2631848,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",24,Williams,full,active,10,-0.71155077,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",524,Williams,full,active,12,-1.20137278,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",541,Williams,full,active,10,-0.32186301,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",547,Williams,full,active,10,-1.21871623,noshift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",550,Williams,full,active,11,-0.6460454,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",555,Williams,full,active,12,-0.83898773,shift
1,12,"Henry was accused by the committee, and afterwards Henry accused the committee.",562,Williams,full,active,10,-0.21732063,shift
1,13,"Ron was promoted by a colleague, and then the following week Ron promoted a colleague.",540,Williams,full,active,15,-1.24171743,shift
1,13,"Ron was promoted by a colleague, and then the following week Ron promoted a colleague.",544,Williams,full,active,15,-1.95360709,shift
1,13,"Ron was promoted by a colleague, and then the following week Ron promoted a colleague.",549,Williams,full,active,13,-1.405214,shift
1,13,"Ron was promoted by a colleague, and then the following week Ron promoted a colleague.",554,Williams,full,active,13,-2.8757844,noshift
1,13,"Ron was promoted by a colleague, and then the following week Ron promoted a colleague.",561,Williams,full,active,16,-0.34326628,shift
1,14,"Nina kicked Roger, then Nina was kicked by Roger.",432,Williams,full,passive,13,-1.68023923,shift
1,14,"Nina kicked Roger, then Nina was kicked by Roger.",530,Williams,full,passive,13,-2.45894777,shift
1,14,"Nina kicked Roger, then Nina was kicked by Roger.",548,Williams,full,passive,13,-0.4498787,shift
1,14,"Nina kicked Roger, then Nina was kicked by Roger.",553,Williams,full,passive,14,-1.32369938,noshift
1,14,"Nina kicked Roger, then Nina was kicked by Roger.",557,Williams,full,passive,16,-0.5849373,shift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",297,Williams,full,passive,15,-1.56406545,shift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",529,Williams,full,passive,15,-1.69634972,shift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",542,Williams,full,passive,13,-0.88746832,shift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",552,Williams,full,passive,14,-0.65753841,shift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",556,Williams,full,passive,13,-1.7456282,shift
